vol_iss_date, pdf_link, cover_loc, iss_loc
"Vol. 1, No. 2, May 15, 1967", https://www.marxists.org/history/usa/pubs/black-panther/01n01-Apr%2025%201967.pdf, ./periodicals/black-panther/bpp-covers/01n01-Apr%2025%201967_cover.pdf, ./periodicals/black-panther/bpp-issues/01n01-Apr%2025%201967.pdf
"Vol. 1, No. 3, June 20, 1967", https://www.marxists.org/history/usa/pubs/black-panther/01n02-May%2015%201967.pdf, ./periodicals/black-panther/bpp-covers/01n02-May%2015%201967_cover.pdf, ./periodicals/black-panther/bpp-issues/01n02-May%2015%201967.pdf
"Vol. 1, No. 4, July 3, 1967", https://www.marxists.org/history/usa/pubs/black-panther/01n03-Jun%2020%201967.pdf, ./periodicals/black-panther/bpp-covers/01n03-Jun%2020%201967_cover.pdf, ./periodicals/black-panther/bpp-issues/01n03-Jun%2020%201967.pdf
"Vol. 1, No. 5, July 20, 1967", https://www.marxists.org/history/usa/pubs/black-panther/01n04-Jul%203%201967.pdf, ./periodicals/black-panther/bpp-covers/01n04-Jul%203%201967_cover.pdf, ./periodicals/black-panther/bpp-issues/01n04-Jul%203%201967.pdf
"Vol. 1, No. 6, November 23, 1967", https://www.marxists.org/history/usa/pubs/black-panther/01n05-Jul%2020%201967.pdf, ./periodicals/black-panther/bpp-covers/01n05-Jul%2020%201967_cover.pdf, ./periodicals/black-panther/bpp-issues/01n05-Jul%2020%201967.pdf
"Vol. 2, No. 2, May 4, 1968", https://www.marxists.org/history/usa/pubs/black-panther/01n06-Nov%2023%201967.pdf, ./periodicals/black-panther/bpp-covers/01n06-Nov%2023%201967_cover.pdf, ./periodicals/black-panther/bpp-issues/01n06-Nov%2023%201967.pdf
"Vol. 2, No. 3, May 18, 1968", https://www.marxists.org/history/usa/pubs/black-panther/02n02-May%204%201968.pdf, ./periodicals/black-panther/bpp-covers/02n02-May%204%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n02-May%204%201968.pdf
"Vol. 2, No. 5, September 7, 1968", https://www.marxists.org/history/usa/pubs/black-panther/02n03-May%2018%201968.pdf, ./periodicals/black-panther/bpp-covers/02n03-May%2018%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n03-May%2018%201968.pdf
"Vol. 2, No. 6, September 14, 1968", https://www.marxists.org/history/usa/pubs/black-panther/02n05-Sep%207%201968.pdf, ./periodicals/black-panther/bpp-covers/02n05-Sep%207%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n05-Sep%207%201968.pdf
"Vol. 2, No. 7, September 28, 1968", https://www.marxists.org/history/usa/pubs/black-panther/02n06-Sep%2014%201968.pdf, ./periodicals/black-panther/bpp-covers/02n06-Sep%2014%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n06-Sep%2014%201968.pdf
"Vol. 2, No. 8, October 5, 1968", https://www.marxists.org/history/usa/pubs/black-panther/02n07-Sep%2028%201968.pdf, ./periodicals/black-panther/bpp-covers/02n07-Sep%2028%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n07-Sep%2028%201968.pdf
"Vol. 2, No. 9, October 12, 1968", https://www.marxists.org/history/usa/pubs/black-panther/02n08-Oct%205%201968.pdf, ./periodicals/black-panther/bpp-covers/02n08-Oct%205%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n08-Oct%205%201968.pdf
"Vol. 2, No. 9, October 19, 1968", https://www.marxists.org/history/usa/pubs/black-panther/02n09-24%20Oct%2012%201968.pdf, ./periodicals/black-panther/bpp-covers/02n09-24%20Oct%2012%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n09-24%20Oct%2012%201968.pdf
"Vol. 2, No. 10, October 26, 1968", https://www.marxists.org/history/usa/pubs/black-panther/02n09-Oct%2019%201968.pdf, ./periodicals/black-panther/bpp-covers/02n09-Oct%2019%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n09-Oct%2019%201968.pdf
"Vol. 2, No. 11, November 2, 1968", https://www.marxists.org/history/usa/pubs/black-panther/02n010-Oct%2026%201968.pdf, ./periodicals/black-panther/bpp-covers/02n010-Oct%2026%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n010-Oct%2026%201968.pdf
"Vol. 2, Nos. 12-14, November 16, 1968", https://www.marxists.org/history/usa/pubs/black-panther/02n011-Nov%202%201968.pdf, ./periodicals/black-panther/bpp-covers/02n011-Nov%202%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n011-Nov%202%201968.pdf
"Vol. 2, Nos. 15-17, December 7, 1968", https://www.marxists.org/history/usa/pubs/black-panther/02n012-14-Nov%2016%201968.pdf, ./periodicals/black-panther/bpp-covers/02n012-14-Nov%2016%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n012-14-Nov%2016%201968.pdf
"Vol. 2, No. 18, December 21, 1968", https://www.marxists.org/history/usa/pubs/black-panther/02n015-17-Dec%207%201968.pdf, ./periodicals/black-panther/bpp-covers/02n015-17-Dec%207%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n015-17-Dec%207%201968.pdf
"Vol. 2, No. 19, January 4, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n018-Dec%2021%201968.pdf, ./periodicals/black-panther/bpp-covers/02n018-Dec%2021%201968_cover.pdf, ./periodicals/black-panther/bpp-issues/02n018-Dec%2021%201968.pdf
"Vol. 2, No. 20, January 15, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n019-Jan%204%201969.pdf, ./periodicals/black-panther/bpp-covers/02n019-Jan%204%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/02n019-Jan%204%201969.pdf
"Vol. 2, No. 21, January 25, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n020-Jan%2015%201969.pdf, ./periodicals/black-panther/bpp-covers/02n020-Jan%2015%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/02n020-Jan%2015%201969.pdf
"Vol. 2, No. 22, February 2, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n021-Jan%2025%201969.pdf, ./periodicals/black-panther/bpp-covers/02n021-Jan%2025%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/02n021-Jan%2025%201969.pdf
"Vol. 2, No. 23, February 17, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n022-Feb%202%201969.pdf, ./periodicals/black-panther/bpp-covers/02n022-Feb%202%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/02n022-Feb%202%201969.pdf
"Vol. 2, No. 24, March 3, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n023-Feb%2017%201969.pdf, ./periodicals/black-panther/bpp-covers/02n023-Feb%2017%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/02n023-Feb%2017%201969.pdf
"Vol. 2, No. 25, March 9, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n024-Mar%203%201969.pdf, ./periodicals/black-panther/bpp-covers/02n024-Mar%203%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/02n024-Mar%203%201969.pdf
"Vol. 2, No. 26, March 16, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n025-Mar%209%201969.pdf, ./periodicals/black-panther/bpp-covers/02n025-Mar%209%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/02n025-Mar%209%201969.pdf
"Vol. 2, No. 27, March 23, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n026-Mar%2016%201969.pdf, ./periodicals/black-panther/bpp-covers/02n026-Mar%2016%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/02n026-Mar%2016%201969.pdf
"Vol. 2, No. 28, March 31, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n27-mar%2023%201969.pdf, ./periodicals/black-panther/bpp-covers/02n27-mar%2023%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/02n27-mar%2023%201969.pdf
"Vol. 2, No. 29, April 6, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n28-mar%2031%201969.pdf, ./periodicals/black-panther/bpp-covers/02n28-mar%2031%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/02n28-mar%2031%201969.pdf
"Vol. 2, No. 30, April 20, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n29-apr%206%201969.pdf, ./periodicals/black-panther/bpp-covers/02n29-apr%206%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/02n29-apr%206%201969.pdf
"Vol. 3, No. 1, April 27, 1969", https://www.marxists.org/history/usa/pubs/black-panther/02n30-apr%2020%201969.pdf, ./periodicals/black-panther/bpp-covers/02n30-apr%2020%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/02n30-apr%2020%201969.pdf
"Vol. 3, No. 2, May 4, 1969", https://www.marxists.org/history/usa/pubs/black-panther/03n01-apr%2027%201969.pdf, ./periodicals/black-panther/bpp-covers/03n01-apr%2027%201969_cover.pdf, ./periodicals/black-panther/bpp-issues/03n01-apr%2027%201969.pdf
